id,year_funded,garden_type,number_of_gardens,estimated_garden_size,nia_or_en,is_indigenous_garden,ward_name
1,2021,School Learning Garden,4,1427.54,EN,0,Scarborough-Guildwood
2,2021,School Learning Garden,8,1877.25,NIA,1,Don Valley West
3,2021,"Spiritual Centre Garden, Rain Garden",19,119.41,None,1,Parkdale-High Park
4,2022,Multiple Front Yard Gardens,21,1929.21,None,0,Parkdale-High Park
5,2023,Boulevard Garden,13,800.16,None,1,Toronto-St. Paul's
6,2020,"Spiritual Centre Garden, Rain Garden",21,1760.18,NIA,0,Don Valley North
7,2022,"City Park, Rain Garden",3,163.32,NIA,0,Beaches-East York
8,2021,"City Park, Rain Garden",11,1751.36,NIA,0,Don Valley North
9,2020,"Boulevard Garden, Rain Garden",8,95.16,NIA,1,Humber River-Black Creek
10,2023,"Boulevard Garden, Rain Garden",19,1456.5,EN,0,York South-Weston
11,2021,School Learning Garden,5,172.24,NIA,0,University-Rosedale
12,2023,School Learning Garden,5,496.49,None,0,Scarborough-Agincourt
13,2020,Multiple Boulevard Gardens,5,1092.07,NIA,0,Scarborough Southwest
14,2023,"Boulevard Garden, Rain Garden",8,1415.48,NIA,0,York South-Weston
15,2022,Multi-Residential Garden,6,325.66,NIA,1,Scarborough-Guildwood
16,2023,Multiple Front Yard Gardens,14,1763.61,EN,0,Beaches-East York
17,2023,Multiple Boulevard Gardens,16,1185.48,None,0,Scarborough-Guildwood
18,2021,Communal Garden,11,1647.32,EN,1,Don Valley East
19,2021,Multi-Residential Garden,15,1687.74,NIA,0,Scarborough-Agincourt
20,2020,"Spiritual Centre Garden, Rain Garden",14,1308.87,NIA,1,Beaches-East York
21,2020,Boulevard Garden,16,812.94,EN,0,Toronto Centre
22,2022,"Boulevard Garden, Rain Garden",2,1007.77,EN,0,Scarborough-Rouge Park
23,2021,"Boulevard Garden, Rain Garden",19,1366.22,None,0,Scarborough-Guildwood
24,2020,Spiritual Centre Garden,13,386.44,EN,1,Don Valley West
