X_id,ID,YEAR_FUNDED,GROUP_NAME,PROJECT_NAME,GARDEN_TYPE,NUMBER_OF_GARDENS,ESTIMATED_GARDEN_SIZE,NEIGHBOURHOOD_NUMBER,NIA_OR_EN,PRIMARY_LOCATION_NAME,PRIMARY_GARDEN_ADDRESS,POSTAL_CODE,IS_INDIGENOUS_GARDEN,WARD_NAME,WARD_NUMBER,DESCRIPTION,IMAGE_NAME,IMAGE_ALT_TEXT,geometry
1,1,2020,Appleton Ave. Community Organization,Appleton Ave. Pollinator Corridor,Multiple Front Yard Gardens,18,1250,92,None,Private Residential Property,14 Appleton Avenue,M6E 3A4,None,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43796221, 43.67956399]]}"
2,2,2020,Centre for Immigrant and Community Services (CICS),The ENRICH Pollinator Garden,Communal Garden,4,114.25,128,None,Centre for Immigrant and Community Services,2330 Midland Avenue,M1S 5G5,None,Scarborough-Agincourt,22,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2760134, 43.77838864]]}"
3,3,2020,Chester School Pollinator Garden Team,Chester School Pollinator Garden,School Learning Garden,1,34,57,None,Chester Elementary School,115 Gowan Avenue,M4K 2E4,None,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.35170998, 43.68760238]]}"
4,4,2020,CSPC - Transfiguration,Transfiguration Pollinator Garden,School Learning Garden,1,22,7,None,Transfiguration of Our Lord Catholic School,55 Ludstone Drive,M9R 2J2,None,Etobicoke Centre,2,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.56287403, 43.69152984]]}"
5,5,2020,Danforth Gardens Neighbourhood Association,Danforth Gardens Neighbourhood Pollinator Corridor,Multiple Front Yard Gardens,7,28,120,None,Private Residential Property,64 Clapperton Avenue,M1L 4K7,None,Scarborough Southwest,20,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.27634928, 43.71211445]]}"
6,6,2020,David Hornell Junior School & Mimico Residents Association,David Hornell Pollinator Gardens,School Learning Garden,3,111,161,None,David Hornell Junior Public School,32 Victoria Street,M8V 1M6,None,Etobicoke-Lakeshore,3,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48889366, 43.61933328]]}"
7,7,2020,Evergreen,Pollinator Revitalization Project,Communal Garden,6,123,56,None,Evergreen Brick Works,550 Bayview Avenue,M4W 3X8,None,University-Rosedale,11,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36562797, 43.68378335]]}"
8,8,2020,FJR Pollinator Project,FJR Pollinator Garden,School Learning Garden,3,46.5,18,None,Father John Redmond Catholic Secondary School and Regional Arts Centre,28 Colonel Samuel Smith Park Drive,M8V 4B6,None,Etobicoke-Lakeshore,3,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51653877, 43.59514135]]}"
9,9,2020,Garrison Creek Park Community Garden (GCPCG),Garrison Creek Park Pollinator Gardens,City Park,3,48,94,None,Garrison Creek Park,1090 Shaw Street,M6G 4B4,None,Toronto-St. Paul's,12,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.42730545, 43.67169486]]}"
10,10,2020,George Chuvalo Community Center & Christie Ossington Neighbourhood Center,GCCC Gardens,Communal Garden,2,34,171,None,George Chuvalo Community Center,50 Sousa Mendes Street,M6P 3Z5,None,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45403412, 43.66179166]]}"
11,11,2020,Green Thumbs Growing Kids,Flower Power,School Learning Garden,3,5260,74,None,Rose Avenue Junior Public School,675 Ontario Street,M4X 1N4,None,Toronto Centre,13,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3727881, 43.67031647]]}"
12,12,2020,Greenland Pollinator Garden,Greenland Public School & Community Pollinator Waystation,School Learning Garden,1,37.2,42,None,Greenland Public School,15 Greenland Road,M3C 1N1,None,Don Valley East,16,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33853616, 43.73361563]]}"
13,13,2020,Harbord Collegiate PARA Pollinator Gardens,Harbord Collegiate Pollinator Garden,School Learning Garden,3,191,80,None,Harbord Collegiate Institute,286 Harbord Street,M6G 1G5,None,University-Rosedale,11,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41426662, 43.66128952]]}"
14,14,2020,Hopewell Community Garden,Hopewell Pollinator Garden,City Park,1,475,108,None,Walter Saunders Memorial Park,440 Hopewell Avenue,MHX 2WX,None,Eglinton-Lawrence,8,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.44716023, 43.69993135]]}"
15,15,2020,King George Junior Public School Parent Council,King George Pollinator Garden,School Learning Garden,1,4.5,89,None,King George Junior Public School ,25 Rexford Road,M6S 2M2,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48688675, 43.66316269]]}"
16,16,2020,Naadmaagit Ki (NKG) âHelpers of the Earthâ,"Aamoog, Memengwaag miinwaa Nenookaasiwag (Bees, Butterflies & Hummingbirds)",Spiritual Centre Garden,1,140,84,None,St. Anne's Anglican Church,270 Gladstone Avenue,M6J 3L6,Y,Davenport,9,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43053046, 43.65065616]]}"
17,17,2020,Neighbours4Nectar,Neighbours4Nectar,Multiple Front Yard Gardens,7,43.75,60,None,Private Residential Property,32 Westbrook Avenue,M4C 2G4,None,Beaches-East York,19,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30704302, 43.69349851]]}"
18,18,2020,Rain Gardens United (RGU),Greenwood Pollinator Gardens Phase 1 â Rain Gardens,"Boulevard Garden, Rain Garden",3,42.6,70,None,Private Residential Property,166 Alton Avenue,M4L 2M5,None,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.33010164, 43.6682729]]}"
19,19,2020,Ravina Community Garden,Ravina Community Garden Pollinator Project,City Park,1,78.8,88,None,Ravina Gardens,290 Clendenan Avenue,M1P 4N7,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.47154608, 43.65906088]]}"
20,20,2020,Regenesis,Pollinate UTSC,School Learning Garden,4,70,134,None,"University of Toronto Scarborough, Joan Foley Hall
",1265 Military Trail,M1C 1A4,None,Scarborough-Rouge Park,25,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.18628948, 43.78388685]]}"
21,21,2020,Resurrection Garden,Resurrection Garden,Spiritual Centre Garden,7,28,59,None,Church of the Ressurection,1100 Woodbine Avenue,M4C 4C7,None,Beaches-East York,19,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31478944, 43.68908621]]}"
22,22,2020,Rouge Valley Foundation,Bombus Native Garden Project,Communal Garden,4,73,144,None,Rouge Valley Conservation Centre,1749 Meadowvale Road,M1B 5W8,None,Scarborough-Rouge Park,25,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.17100139, 43.81903673]]}"
23,23,2020,Scarborough Arts,Pollinator Art - Planting and Botanical Illustration Program,City Park,1,46.5,122,None,Scarborough Arts,1859 Kingston Road,M1N 3J7,None,Scarborough Southwest,20,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25878546, 43.69539466]]}"
24,24,2020,Scarborough Bluffs Community Association,Bluffs Pollinator Garden,City Park,1,35,122,None,Sandown Park,50 Natal Avenue,M1N 3V4,None,Scarborough Southwest,20,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25303103, 43.71001685]]}"
25,25,2020,St. Wilfrid Catholic School ECO Rangers,School Grounds Greening Project,School Learning Garden,3,11.5,27,NIA,St. Wilfrid Catholic School,1685 Finch Avenue West,M3J 2G8,None,Humber River-Black Creek,7,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.50259411, 43.76004594]]}"
26,26,2020,"Stonegate Community Health Centre, Bell Manor Park Community Garden & ArtsEtobicoke Pollinator Garden Partnership",Bell Manor Park Community Pollinator Garden,City Park,1,46.5,16,None,Bell Manor Park,1 Bayside Lane,M8Y 1Y9,None,Etobicoke-Lakeshore,3,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.49246503, 43.6376796]]}"
27,27,2020,Sunshine Centre for Seniors,Sunshine Pollinator Gardens: Seniors and Youth Bee-utify Our Community,City Park,3,6.6,166,None,Sunshine Centre for Seniors,60 Lakeshore Avenue,M5J 1X8,None,Spadina-Fort York,10,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3553871, 43.62876317]]}"
28,28,2020,The Argonaut Rowing Club,Argonaut Growing Club Pollinator Project,Communal Garden,1,140,85,NIA,The Argonaut Rowing Club,1225 Lake Shore Boulevard West,M6K 3C1,None,Parkdale-High Park,4,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43605117, 43.63214232]]}"
29,29,2020,The Bain Co-op Pollinator Working Group,The Bain Butterfly Way Project,Multiple Front Yard Gardens,5,36.4,68,None,Bain Co-op,100 Bain Avenue,M4K 1E8,None,Toronto-Danforth,14,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34884772, 43.67206024]]}"
30,30,2020,The Toronto Heschel School,Project Nectar,School Learning Garden,6,18,33,None,The Toronto Heschel School,819 Sheppard Avenue West,M3H 2T3,None,York Centre,6,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45084829, 43.75233957]]}"
31,31,2020,Toronto Chinese Mennonite Church Community Garden,Toronto Chinese Mennonite Church Community Garden,Spiritual Centre Garden,1,24.2,59,None,Toronto Chinese Mennonite Church,1038 Woodbine Avenue,M4C 4C4,None,Beaches-East York,19,None,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.31388156, 43.68744236]]}"
