"","id","year_funded","garden_type","number_of_gardens","estimated_garden_size","nia_or_en","is_indigenous_garden","ward_name"
"1",1,2020,"Multiple Front Yard Gardens",18,1250,"None",0,"Davenport"
"2",2,2020,"Communal Garden",4,114.25,"None",0,"Scarborough-Agincourt"
"3",3,2020,"School Learning Garden",1,34,"None",0,"Toronto-Danforth"
"4",4,2020,"School Learning Garden",1,22,"None",0,"Etobicoke Centre"
"5",5,2020,"Multiple Front Yard Gardens",7,28,"None",0,"Scarborough Southwest"
"6",6,2020,"School Learning Garden",3,111,"None",0,"Etobicoke-Lakeshore"
"7",7,2020,"Communal Garden",6,123,"None",0,"University-Rosedale"
"8",8,2020,"School Learning Garden",3,46.5,"None",0,"Etobicoke-Lakeshore"
"9",9,2020,"City Park",3,48,"None",0,"Toronto-St. Paul's"
"10",10,2020,"Communal Garden",2,34,"None",0,"Davenport"
"11",11,2020,"School Learning Garden",3,5260,"None",0,"Toronto Centre"
"12",12,2020,"School Learning Garden",1,37.2,"None",0,"Don Valley East"
"13",13,2020,"School Learning Garden",3,191,"None",0,"University-Rosedale"
"14",14,2020,"City Park",1,475,"None",0,"Eglinton-Lawrence"
"15",15,2020,"School Learning Garden",1,4.5,"None",0,"Parkdale-High Park"
"16",16,2020,"Spiritual Centre Garden",1,140,"None",1,"Davenport"
"17",17,2020,"Multiple Front Yard Gardens",7,43.75,"None",0,"Beaches-East York"
"18",18,2020,"Boulevard Garden, Rain Garden",3,42.6,"None",0,"Toronto-Danforth"
"19",19,2020,"City Park",1,78.8,"None",0,"Parkdale-High Park"
"20",20,2020,"School Learning Garden",4,70,"None",0,"Scarborough-Rouge Park"
"21",21,2020,"Spiritual Centre Garden",7,28,"None",0,"Beaches-East York"
"22",22,2020,"Communal Garden",4,73,"None",0,"Scarborough-Rouge Park"
"23",23,2020,"City Park",1,46.5,"None",0,"Scarborough Southwest"
"24",24,2020,"City Park",1,35,"None",0,"Scarborough Southwest"
"25",25,2020,"School Learning Garden",3,11.5,"NIA",0,"Humber River-Black Creek"
"26",26,2020,"City Park",1,46.5,"None",0,"Etobicoke-Lakeshore"
"27",27,2020,"City Park",3,6.6,"None",0,"Spadina-Fort York"
"28",28,2020,"Communal Garden",1,140,"NIA",0,"Parkdale-High Park"
"29",29,2020,"Multiple Front Yard Gardens",5,36.4,"None",0,"Toronto-Danforth"
"30",30,2020,"School Learning Garden",6,18,"None",0,"York Centre"
"31",31,2020,"Spiritual Centre Garden",1,24.2,"None",0,"Beaches-East York"
"32",32,2020,"School Learning Garden",2,55,"None",1,"Toronto-Danforth"
"33",33,2020,"Spiritual Centre Garden",4,18.6,"None",0,"Parkdale-High Park"
"34",34,2021,"Multi-Residential Garden",1,84,"NIA",0,"Scarborough Southwest"
"35",35,2021,"Spiritual Centre Garden",1,48,"None",0,"Parkdale-High Park"
"36",36,2021,"City Park",1,55,"EN",0,"Scarborough-Agincourt"
"37",37,2021,"School Learning Garden",1,100,"None",0,"Toronto-Danforth"
"38",38,2021,"Spiritual Centre Garden",1,180,"None",0,"Don Valley East"
"39",39,2021,"Communal Garden",1,47,"NIA",0,"Don Valley East"
"40",40,2021,"School Learning Garden",1,100,"None",0,"Etobicoke North"
"41",41,2021,"City Park",1,15,"None",0,"Toronto Centre"
"42",42,2021,"City Park",1,40,"None",0,"Scarborough-Guildwood"
"43",43,2021,"Spiritual Centre Garden",2,166,"None",0,"Toronto Centre"
"44",44,2021,"Communal Garden",9,12,"None",0,"Beaches-East York"
"45",45,2021,"Spiritual Centre Garden, Rain Garden",7,140,"None",1,"Toronto-St. Paul's"
"46",46,2021,"Multi-Residential Garden",1,172,"NIA",0,"Parkdale-High Park"
"47",47,2021,"School Learning Garden",4,38,"None",0,"Scarborough Southwest"
"48",48,2021,"School Learning Garden",1,19,"NIA",0,"York South-Weston"
"49",49,2021,"Communal Garden",1,2023,"None",0,"Scarborough-Rouge Park"
"50",50,2021,"School Learning Garden",3,62,"None",0,"Toronto-Danforth"
"51",51,2021,"School Learning Garden",1,81,"None",0,"Spadina-Fort York"
"52",52,2021,"City Park",2,35,"None",0,"Spadina-Fort York"
"53",53,2021,"School Learning Garden",1,222,"None",0,"Davenport"
"54",54,2021,"Multiple Front Yard Gardens",9,75,"NIA",0,"Parkdale-High Park"
"55",55,2021,"School Learning Garden",1,10,"NIA",0,"Etobicoke North"
"56",56,2021,"School Learning Garden",1,100,"None",0,"Humber River-Black Creek"
"57",57,2021,"School Learning Garden",1,40,"None",0,"Willowdale"
"58",58,2021,"School Learning Garden",1,12,"None",0,"Etobicoke-Lakeshore"
"59",59,2021,"School Learning Garden",1,230,"NIA",0,"Scarborough-Guildwood"
"60",60,2021,"Boulevard Garden",1,20,"None",0,"Toronto-St. Paul's"
"61",61,2021,"City Park",1,19,"NIA",0,"Don Valley West"
"62",62,2021,"City Park",2,400,"NIA",0,"Don Valley West"
"63",63,2021,"Communal Garden",1,5,"NIA",1,"Toronto Centre"
"64",64,2021,"City Park",1,500,"None",0,"Eglinton-Lawrence"
"65",65,2021,"School Learning Garden",6,5,"NIA",0,"Scarborough-Guildwood"
"66",66,2022,"Spiritual Centre Garden",3,90.4,"None",0,"Toronto Centre"
"67",67,2022,"Communal Garden",1,65,"NIA",0,"Etobicoke North"
"68",68,2022,"City Park",1,24,"None",0,"Davenport"
"69",69,2022,"City Park",1,139.3,"None",0,"Toronto Centre"
"70",70,2022,"School Learning Garden",1,148.6,"NIA",0,"Scarborough-Guildwood"
"71",71,2022,"School Learning Garden",1,224,"None",0,"Scarborough Centre"
"72",72,2022,"School Learning Garden",1,185.8,"None",0,"Davenport"
"73",73,2022,"School Learning Garden",1,41.8,"NIA",0,"Scarborough-Guildwood"
"74",74,2022,"Spiritual Centre Garden",3,45,"EN",0,"Eglinton-Lawrence"
"75",75,2022,"School Learning Garden",3,204.3,"None",0,"Parkdale-High Park"
"76",76,2022,"City Park, Rain Garden",2,74.3,"NIA",0,"York South-Weston"
"77",77,2022,"City Park",1,124.8,"NIA",0,"York South-Weston"
"78",78,2022,"Communal Garden",1,11.1,"None",0,"University-Rosedale"
"79",79,2022,"School Learning Garden",3,43.2,"None",0,"University-Rosedale"
"80",80,2022,"School Learning Garden",5,65.1,"NIA",0,"Don Valley East"
"81",81,2022,"City Park",1,46.4,"NIA",0,"Don Valley East"
"82",82,2022,"School Learning Garden",1,25.5,"None",0,"Toronto-Danforth"
"83",83,2022,"School Learning Garden",1,4.6,"None",0,"Parkdale-High Park"
"84",84,2022,"Multiple Boulevard Gardens",4,185.8,"None",0,"University-Rosedale"
"85",85,2022,"Spiritual Centre Garden",1,25.6,"None",0,"Don Valley West"
"86",86,2022,"School Learning Garden",1,46.4,"None",0,"Etobicoke North"
"87",87,2022,"City Park",1,269.4,"None",0,"Don Valley West"
"88",88,2022,"Multiple Front Yard Gardens",6,303.21,"None",0,"Scarborough Southwest"
"89",89,2022,"School Learning Garden",2,278.7,"None",0,"Toronto-Danforth"
"90",90,2022,"School Learning Garden",5,8.3,"None",0,"Scarborough-Rouge Park"
"91",91,2022,"School Learning Garden",1,5.5,"NIA",0,"York South-Weston"
"92",92,2022,"Communal Garden",1,59.4,"None",0,"Scarborough Southwest"
"93",93,2022,"Communal Garden",1,13.9,"None",0,"Toronto Centre"
"94",94,2022,"School Learning Garden",1,59.4,"NIA",0,"Scarborough Southwest"
"95",95,2022,"School Learning Garden",2,4.6,"EN",0,"Scarborough-Agincourt"
"96",96,2022,"City Park",1,7.4,"None",0,"Toronto-St. Paul's"
"97",97,2022,"Boulevard Garden",22,18.3,"None",0,"Parkdale-High Park"
"98",98,2022,"School Learning Garden",1,37.1,"NIA",0,"Humber River-Black Creek"
"99",99,2022,"City Park",1,18.5,"None",0,"Toronto-St. Paul's"
"100",100,2022,"Spiritual Centre Garden",4,49.1,"None",0,"Scarborough Southwest"
"101",101,2022,"School Learning Garden",2,22.2,"None",0,"Toronto-Danforth"
"102",102,2022,"Communal Garden",4,576,"NIA",0,"Don Valley West"
"103",103,2022,"Communal Garden",1,18.5,"None",0,"Spadina-Fort York"
"104",104,2022,"Boulevard Garden",4,640,"None",0,"Parkdale-High Park"
"105",105,2022,"Communal Garden",4,33.8,"NIA",0,"Toronto Centre"
"106",106,2023,"Spiritual Centre Garden",1,10,"None",0,"Beaches-East York"
"107",107,2023,"Multi-Residential Garden",1,23,"None",0,"Toronto Centre"
"108",108,2023,"Multi-Residential Garden",3,86,"None",0,"Toronto Centre"
"109",109,2023,"City Park",1,23,"None",0,"Davenport"
"110",110,2023,"Communal Garden",1,51,"None",0,"Toronto-Danforth"
"111",111,2023,"School Learning Garden",2,30,"NIA",0,"Humber River-Black Creek"
"112",112,2023,"School Learning Garden",1,35,"None",0,"Don Valley North"
"113",113,2023,"School Learning Garden",2,9.29,"EN",0,"Scarborough-Agincourt"
"114",114,2023,"School Learning Garden",1,131,"None",0,"University-Rosedale"
"115",115,2023,"School Learning Garden",2,6,"None",0,"York Centre"
"116",116,2023,"School Learning Garden",4,130,"None",0,"Toronto-Danforth"
"117",117,2023,"Spiritual Centre Garden",3,242,"None",0,"Parkdale-High Park"
"118",118,2023,"Spiritual Centre Garden",2,58,"None",0,"Beaches-East York"
"119",119,2023,"Multiple Front Yard Gardens",5,139,"None",0,"Scarborough-Guildwood"
"120",120,2023,"School Learning Garden",1,10,"None",0,"Parkdale-High Park"
"121",121,2023,"Communal Garden",1,10,"NIA",0,"Humber River-Black Creek"
"122",122,2023,"Communal Garden",1,175,"None",0,"Etobicoke-Lakeshore"
"123",123,2023,"Multiple Property Garden",5,538,"None",0,"University-Rosedale"
"124",124,2023,"City Park",1,14,"None",0,"Davenport"
"125",125,2023,"Multiple Front Yard Gardens",8,76.6,"None",0,"Beaches-East York"
"126",126,2023,"School Learning Garden",1,50,"None",0,"Toronto-Danforth"
"127",127,2023,"School Learning Garden",6,12.7,"None",0,"Beaches-East York"
"128",128,2023,"School Learning Garden",5,70,"None",0,"Davenport"
"129",129,2023,"School Learning Garden",3,28,"None",0,"Etobicoke Centre"
"130",130,2023,"School Learning Garden",1,78,"None",0,"Etobicoke-Lakeshore"
"131",131,2023,"Multiple Property Garden",7,250,"None",0,"Toronto Centre"
"132",132,2023,"Multiple Boulevard Gardens",6,96,"None",0,"University-Rosedale"
"133",133,2023,"School Learning Garden",3,27,"None",0,"Parkdale-High Park"
"134",134,2023,"School Learning Garden",2,35,"NIA",0,"Beaches-East York"
"135",135,2023,"Multiple Front Yard Gardens",9,10,"NIA",0,"Parkdale-High Park"
"136",136,2023,"School Learning Garden",2,26,"None",0,"Humber River-Black Creek"
"137",137,2023,"Spiritual Centre Garden",1,700,"None",0,"Willowdale"
"138",138,2023,"Boulevard Garden",3,136,"None",0,"Beaches-East York"
"139",139,2023,"School Learning Garden",1,10,"NIA",0,"Etobicoke North"
"140",140,2023,"School Learning Garden",3,31,"EN",0,"Scarborough-Agincourt"
"141",141,2023,"Communal Garden",1,65,"None",0,"Toronto-St. Paul's"
"142",142,2023,"Boulevard Garden",2,22,"None",0,"Davenport"
"143",143,2023,"School Learning Garden",2,46.5,"NIA",0,"Etobicoke Centre"
"144",144,2023,"School Learning Garden",1,70,"None",0,"University-Rosedale"
"145",145,2023,"School Learning Garden",3,37,"None",0,"Parkdale-High Park"
"146",146,2023,"School Learning Garden",1,11,"NIA",0,"Scarborough-Guildwood"
"147",147,2023,"School Learning Garden",1,10,"EN",1,"Etobicoke Centre"
"148",148,2023,"School Learning Garden",1,11,"None",0,"Toronto-Danforth"
"149",149,2023,"School Learning Garden",1,2023,"None",0,"York Centre"
